Name,Value,Up_Unc,Low_Unc,,,
rho_star,0.009637682,1.92E-06,1.92E-06,,,317.9384203
m_star,1.246649789,0.019290974,0.019290974,,,
t0,3517.582309,9.87E-05,9.88E-05,,,
period,42.29583722,2.05E-05,2.32E-05,,,
r_pl,9.708636127,0.157377594,0.15422426,,,
a,0.254790887,0.003091618,0.003312149,,,
ror,0.017657381,0.000176373,0.000148896,,,
b,0.857281837,0.010233268,0.012574172,,,
m_pl,0.755375347,0.031977878,0.031059116,,,
ecc,0.157423411,0.020244872,0.017729317,,,
omega,-0.435803643,0.227399215,0.189284627,,,
t0,3380.900003,9.37E-05,0.000103183,,,
period,63.52972767,0.005875236,0.006071227,,,
r_pl,25.57700409,17.71504645,17.27833306,,,
a,0.334178062,0.004061639,0.004336589,,,
ror,0.04637898,0.032202226,0.031261358,,,
b,0.519887076,0.331856879,0.344147968,,,
m_pl,0.810119848,0.039704355,0.037094914,,,
ecc,0.183413138,0.019589897,0.01711001,,,
omega,2.703804965,0.200836389,0.203234854,,,
t0,3612.999998,0.000105841,0.00010127,,,
period,422.9991726,0.041243711,0.040103289,,,
r_pl,25.27281499,16.63345061,16.50495374,,,
a,1.182878398,0.014334003,0.015334968,,,
ror,0.045985708,0.030173007,0.029980489,,,
b,0.517979739,0.339471058,0.354468578,,,
m_pl,1.195902192,0.091121872,0.08728335,,,
ecc,0.040304062,0.029696332,0.02642872,,,
omega,0.322832626,1.04658931,1.121921854,,,
